,cities,geocode
197,Jundiaí/SP,3525904
198,Luziânia/GO,5212501
199,Pelotas/RS,4314407
200,Porto Real do Colégio/AL,2707503
201,Poá/SP,3539806
202,Resende/RJ,3304201
203,Ribeirão Pires/SP,3543303
204,Rio Claro/SP,3543907
205,Silvânia/GO,5220603
206,São Domingos/BA,2928950
207,São Ludgero/SC,4217006
208,São Sebastião/SP,3550704
209,Taboão da Serra/SP,3552809
210,Valença/RJ,3306107
211,Valinhos/SP,3556206
212,Alagoinhas/BA,2900702
213,Arujá/SP,3503901
214,Boa Esperança/MG,3107109
215,Boca do Acre/AM,1300706
216,Castanhal/PA,1502400
217,Castelo/ES,3201407
218,Governador Valadares/MG,3127701
219,Itaituba/PA,1503606
220,Itapema/SC,4208302
221,Louveira/SP,3527306
222,Mairiporã/SP,3528502
223,Marau/RS,4311809
224,Nova Palma/RS,4313102
225,Passo Fundo/RS,4314100
226,Piratini/RS,4314605
227,Ribeirão Preto/SP,3543402
228,Rolante/RS,4316006
229,Siderópolis/SC,4217600
230,São João del Rei/MG,3162500
231,Tatuí/SP,3554003
232,Timbé do Sul/SC,4218103
233,Araguaína/TO,1702109
234,Batayporã/MS,5002001
235,Cachoeira do Sul/RS,4303004
236,Camaragibe/PE,2603454
237,Campina Grande/PB,2504009
238,Campo Belo/MG,3111200
239,Carmo do Cajuru/MG,3114204
240,Diadema/SP,3513801
241,Fernando de Noronha/PE,2605459
242,Goiana/PE,2606200
243,Guarapuava/PR,4109401
244,Guimarânia/MG,3128907
245,Hidrolândia/GO,5209705
246,Ipiaú/BA,2913903
247,Iretama/PR,4110805
248,Itaboraí/RJ,3301900
249,Manacapuru/AM,1302504
250,Maranguape/CE,2307700
251,Rio Negro/PR,4122305
252,Rio Verde de Mato Grosso/MS,5007406
253,Sabará/MG,3156700
254,Santa Rosa/RS,4317202
255,Sorocaba/SP,3552205
256,Sousa/PB,2516201
257,São José do Divino/PI,2210052
258,São Lourenço do Oeste/SC,4216909
259,São Roque do Canaã/ES,3204955
260,União da Vitória/PR,4128203
261,Açu/RN,2400208
262,Brusque/SC,4202909
263,Caicó/RN,2402006
264,Canguçu/RS,4304507
265,Caucaia/CE,2303709
266,Dourados/MS,5003702
267,Goianésia/GO,5208608
268,Guarapari/ES,3202405
269,Itagibá/BA,2915205
270,Itapemirim/ES,3202801
271,Macaíba/RN,2407104
272,Mangaratiba/RJ,3302601
273,Mariópolis/PR,4115309
274,Monte Alegre/RN,2407807
275,Nova Iguaçu/RJ,3303500
276,Papanduva/SC,4212205
277,Parauapebas/PA,1505536
278,Parnaíba/PI,2207702
279,Passa e Fica/RN,2409100
280,Quatiguá/PR,4120705
281,Quixadá/CE,2311306
282,São Francisco do Sul/SC,4216206
283,São Gonçalo do Amarante/RN,2412005
284,São José de Mipibu/RN,2412203
285,São Lourenço da Mata/PE,2613701
286,Tibau/RN,2411056
287,Urussanga/SC,4219002
288,Águas Lindas de Goiás/GO,5200258
289,Acrelândia/AC,1200013
290,Castro/PR,4104907
291,Contenda/PR,4106209
292,Extrema/MG,3125101
293,Indaial/SC,4207502
294,Itacoatiara/AM,1301902
295,Itaitinga/CE,2306256
296,Itamaraju/BA,2915601
297,Itororó/BA,2917102
298,Maracanaú/CE,2307650
299,Marechal Cândido Rondon/PR,4114609
300,Medianeira/PR,4115804
301,Muriaé/MG,3143906
302,Novo Hamburgo/RS,4313409
303,Peabiru/PR,4118808
304,Pojuca/BA,2925204
305,Porto Acre/AC,1200807
306,Rio das Ostras/RJ,3304524
307,Santa Luzia/MG,3157807
308,Seropédica/RJ,3305554
309,Serra do Salitre/MG,3166808
310,São José dos Pinhais/PR,4125506
311,São Mateus/ES,3204906
312,Terra Rica/PR,4127304
313,Angra dos Reis/RJ,3300100
314,Apodi/RN,2401008
315,Beberibe/CE,2302206
316,Brodowski/SP,3507803
317,Cajamar/SP,3509205
318,Dias d'Ávila/BA,2910057
319,Itapevi/SP,3522505
320,Itumbiara/GO,5211503
321,Itupeva/SP,3524006
322,Jaru/RO,1100114
323,Luís Gomes/RN,2407005
324,Manhuaçu/MG,3139409
325,Matinhos/PR,4115705
326,Nova Soure/BA,2922904
327,Novo Airão/AM,1303205
328,Palmares/PE,2610004
329,Patos/PB,2510808
330,Paulínia/SP,3536505
331,Penápolis/SP,3537305
332,Pescaria Brava/SC,4212650
333,Piracicaba/SP,3538709
334,Porto Feliz/SP,3540606
335,Rio Bonito/RJ,3304300
336,Rio Branco do Sul/PR,4122206
337,Rondonópolis/MT,5107602
338,Santos/SP,3548500
339,São Pedro/SP,3550407
340,Taquari/RS,4321303
341,Teresópolis/RJ,3305802
342,Unaí/MG,3170404
343,Abaetetuba/PA,1500107
344,Alcinópolis/MS,5000252
345,Alfenas/MG,3101607
346,Alto Rio Novo/ES,3200359
347,Americana/SP,3501608
348,Araçatuba/SP,3502804
349,Barra/BA,2902708
350,Bauru/SP,3506003
351,Cachoeira Paulista/SP,3508603
352,Cachoeirinha/RS,4303103
353,Candeias/BA,2906501
354,Catu/BA,2907509
355,Coaraci/BA,2908002
356,Francisco Beltrão/PR,4108403
357,Franco da Rocha/SP,3516408
358,Guarujá/SP,3518701
359,Ipubi/PE,2607307
360,Itajuípe/BA,2915502
361,Itapecerica da Serra/SP,3522208
362,Itaquaquecetuba/SP,3523107
363,Lapa/PR,4113205
364,Lençóis Paulista/SP,3526803
365,Macaé/RJ,3302403
366,Marituba/PA,1504422
367,Matão/SP,3529302
368,Medeiros Neto/BA,2921104
369,Mogi Guaçu/SP,3530706
370,Nova Andradina/MS,5006200
371,Nova Odessa/SP,3533403
372,Paranaiguara/GO,5216304
373,Pirajuí/SP,3538907
374,Quatro Barras/PR,4120804
375,Salto de Pirapora/SP,3545308
376,Santa Isabel/SP,3546801
377,Santa Quitéria/CE,2312205
378,São Domingos do Sul/RS,4318051
379,São José do Rio Pardo/SP,3549706
380,São Pedro da Aldeia/RJ,3305208
381,São Vicente/SP,3551009
382,Tucuruí/PA,1508100
383,Verê/PR,4128609
384,Viana/ES,3205101
385,Vinhedo/SP,3556701
386,Votorantim/SP,3557006
387,Votuporanga/SP,3557105
388,Afonso Cláudio/ES,3200102
389,Alegrete/RS,4300406
390,Aliança/PE,2600708
391,Aracruz/ES,3200607
392,Araguari/MG,3103504
393,Arapongas/PR,4101507
394,Araucária/PR,4101804
395,Arraial do Cabo/RJ,3300258
396,Assis Chateaubriand/PR,4102000
397,Açailândia/MA,2100055
398,Barcarena/PA,1501303
399,Barra do Rocha/BA,2903102
400,Cabedelo/PB,2503209
401,Caldas Novas/GO,5204508
402,Cambé/PR,4103701
403,Campestre de Goiás/GO,5204607
404,Capitólio/MG,3112802
405,Ceará-Mirim/RN,2402600
406,Cidade Ocidental/GO,5205497
407,Eusébio/CE,2304285
408,Fazenda Rio Grande/PR,4107652
409,Goioerê/PR,4108601
410,Ibaiti/PR,4109708
411,Imperatriz/MA,2105302
412,Indaiatuba/SP,3520509
413,Itanhaém/SP,3522109
414,Lavras/MG,3138203
415,Limeira/SP,3526902
416,Pouso Alegre/MG,3152501
417,Praia Grande/SP,3541000
418,Santarém/PA,1506807
419,São Sebastião do Caí/RS,4319505
420,Tangará da Serra/MT,5107958
421,Tianguá/CE,2313401
422,Trindade/GO,5221403
423,Três Lagoas/MS,5008305
424,Vitória da Conquista/BA,2933307
425,Agudos/SP,3500709
426,Araraquara/SP,3503208
427,Arcos/MG,3104205
428,Assis/SP,3504008
429,Barbacena/MG,3105608
430,Belmonte/BA,2903409
431,Biguaçu/SC,4202305
432,Cantá/RR,1400175
433,Capela/SE,2801306
434,Cornélio Procópio/PR,4106407
435,Dracena/SP,3514403
436,Franca/SP,3516200
437,Francisco Morato/SP,3516309
438,Fundão/ES,3202207
439,Guaíba/RS,4309308
440,Icó/CE,2305407
441,Itaguaí/RJ,3302007
442,Itapajé/CE,2306306
443,Itapipoca/CE,2306405
444,Itararé/SP,3523206
445,Itu/SP,3523909
446,Jaguaribe/CE,2306900
447,Jaú/SP,3525300
448,Joaçaba/SC,4209003
449,Leópolis/PR,4113403
450,Lucas do Rio Verde/MT,5105259
451,Magé/RJ,3302502
452,Mandirituba/PR,4114302
453,Palmeira/PR,4117701
454,Paranaguá/PR,4118204
455,Paulo Lopes/SC,4212304
456,Santa Cruz Cabrália/BA,2927705
457,Santana do Paraíso/MG,3158953
458,Santo Antônio do Monte/MG,3160405
459,Sapucaia do Sul/RS,4320008
460,Sinop/MT,5107909
461,Sooretama/ES,3205010
462,São Gabriel/RS,4318309
463,São Manoel do Paraná/PR,4125555
464,Terra Boa/PR,4127205
465,Toledo/MG,3169109
466,Tramandaí/RS,4321600
467,Uruguaiana/RS,4322400
468,Vila Maria/RS,4323408
469,Águas de Lindóia/SP,3500501
470,Adamantina/SP,3500105
471,Altamira/PA,1500602
472,Araranguá/SC,4201406
473,Araruama/RJ,3300209
474,Araruna/PR,4101705
475,Atibaia/SP,3504107
476,Barra do Piraí/RJ,3300308
477,Baía Formosa/RN,2401404
478,Benevides/PA,1501501
479,Bom Jesus de Goiás/GO,5203500
480,Cabo de Santo Agostinho/PE,2602902
481,Campina Grande do Sul/PR,4104006
482,Campo Maior/PI,2202208
483,Canindé/CE,2302800
484,Caraúbas/RN,2402303
485,Colatina/ES,3201506
486,Cravinhos/SP,3513108
487,Esmeraldas/MG,3124104
488,Farias Brito/CE,2304301
489,Goianésia do Pará/PA,1503093
490,Iguaba Grande/RJ,3301876
491,Ipaporanga/CE,2305654
492,Irati/SC,4207858
493,Itabira/MG,3131703
494,Jaboticabal/SP,3524303
495,Junco do Seridó/PB,2507804
496,Mafra/SC,4210100
497,Marechal Deodoro/AL,2704708
498,Marília/SP,3529005
499,Morro da Fumaça/SC,4211207
