,covid_cases_geocode
0,1302603
1,1300706
2,1302504
3,1301902
4,1303205
5,1301852
6,1302702
7,1303536
8,1301100
9,1302405
10,1303569
11,1302553
12,1303304
13,1304005
14,1301704
15,1302009
16,1300144
17,1301654
