,cities,geocode
0,São Paulo/SP,3550308
1,Santana de Parnaíba/SP,3547304
2,Ferraz de Vasconcelos/SP,3515707
3,Mauá/SP,3529401
4,Santo André/SP,3547809
5,São Bernardo do Campo/SP,3548708
6,São Caetano do Sul/SP,3548807
7,Guarulhos/SP,3518800
8,Barueri/SP,3505708
9,Campinas/SP,3509502
10,Cotia/SP,3513009
11,Jaguariúna/SP,3524709
12,Osasco/SP,3534401
13,São José do Rio Preto/SP,3549805
14,São José dos Campos/SP,3549904
15,Suzano/SP,3552502
16,Taubaté/SP,3554102
17,Vargem Grande Paulista/SP,3556453
18,Hortolândia/SP,3519071
19,Mogi das Cruzes/SP,3530607
20,Embu das Artes/SP,3515004
21,Iracemápolis/SP,3521408
22,Jundiaí/SP,3525904
23,Poá/SP,3539806
24,Ribeirão Pires/SP,3543303
25,Rio Claro/SP,3543907
26,São Sebastião/SP,3550704
27,Taboão da Serra/SP,3552809
28,Valinhos/SP,3556206
29,Arujá/SP,3503901
30,Louveira/SP,3527306
31,Mairiporã/SP,3528502
32,Ribeirão Preto/SP,3543402
33,Tatuí/SP,3554003
34,Diadema/SP,3513801
35,Sorocaba/SP,3552205
36,Brodowski/SP,3507803
37,Cajamar/SP,3509205
38,Itapevi/SP,3522505
39,Itupeva/SP,3524006
40,Paulínia/SP,3536505
41,Penápolis/SP,3537305
42,Piracicaba/SP,3538709
43,Porto Feliz/SP,3540606
44,Santos/SP,3548500
45,São Pedro/SP,3550407
46,Americana/SP,3501608
47,Araçatuba/SP,3502804
48,Bauru/SP,3506003
49,Cachoeira Paulista/SP,3508603
50,Franco da Rocha/SP,3516408
51,Guarujá/SP,3518701
52,Itapecerica da Serra/SP,3522208
53,Itaquaquecetuba/SP,3523107
54,Lençóis Paulista/SP,3526803
55,Matão/SP,3529302
56,Mogi Guaçu/SP,3530706
57,Nova Odessa/SP,3533403
58,Pirajuí/SP,3538907
59,Salto de Pirapora/SP,3545308
60,Santa Isabel/SP,3546801
61,São José do Rio Pardo/SP,3549706
62,São Vicente/SP,3551009
63,Vinhedo/SP,3556701
64,Votorantim/SP,3557006
65,Votuporanga/SP,3557105
