,cities,geocode
0,São Paulo/SP,3550308
1,Feira de Santana/BA,2910800
2,Rio de Janeiro/RJ,3304557
3,Brasília/DF,5300108
4,Maceió/AL,2704302
5,Porto Alegre/RS,4314902
6,Caxias do Sul/RS,4305108
7,Curitiba/PR,4106902
8,Florianópolis/SC,4205407
9,Goiânia/GO,5208707
10,Natal/RN,2408102
11,Recife/PE,2611606
12,Rio Verde/GO,5218805
13,Joinville/SC,4209102
14,Manaus/AM,1302603
15,Salvador/BA,2927408
16,Aracaju/SE,2800308
17,Juiz de Fora/MG,3136702
18,Belo Horizonte/MG,3106200
19,Fortaleza/CE,2304400
20,Porto Seguro/BA,2925303
21,Londrina/PR,4113700
22,Rio Branco/AC,1200401
23,Uberlândia/MG,3170206
24,Belém/PA,1501402
25,Foz do Iguaçu/PR,4108304
26,João Pessoa/PB,2507507
27,Maringá/PR,4115200
28,Palmas/TO,1721000
29,São José do Rio Preto/SP,3549805
30,São José dos Campos/SP,3549904
31,Teresina/PI,2211001
32,Chapecó/SC,4204202
33,Cuiabá/MT,5103403
34,Ji-Paraná/RO,1100122
35,Juazeiro do Norte/CE,2307304
36,Macapá/AP,1600303
37,São Luís/MA,2111300
38,Uberaba/MG,3170107
39,Boa Vista/RR,1400100
40,Itajaí/SC,4208203
41,Jaguaruna/SC,4208807
42,Mossoró/RN,2408003
43,Ponta Grossa/PR,4119905
44,Porto Velho/RO,1100205
45,Barreiras/BA,2903201
46,Lages/SC,4209300
47,Parintins/AM,1303403
48,Marabá/PA,1504208
49,Petrolina/PE,2611101
50,Serra/ES,3205002
51,Teixeira de Freitas/BA,2931350
52,Ilhéus/BA,2913606
53,Itaituba/PA,1503606
54,Passo Fundo/RS,4314100
55,Ribeirão Preto/SP,3543402
56,Araguaína/TO,1702109
57,Campina Grande/PB,2504009
58,Fernando de Noronha/PE,2605459
59,Guarapuava/PR,4109401
60,Dourados/MS,5003702
61,Parauapebas/PA,1505536
62,Parnaíba/PI,2207702
63,Angra dos Reis/RJ,3300100
64,Patos/PB,2510808
65,Rondonópolis/MT,5107602
66,Bauru/SP,3506003
67,Macaé/RJ,3302403
68,Caldas Novas/GO,5204508
69,Imperatriz/MA,2105302
70,Santarém/PA,1506807
71,Três Lagoas/MS,5008305
72,Vitória da Conquista/BA,2933307
73,Sinop/MT,5107909
74,Altamira/PA,1500602
75,Varginha/MG,3170701
76,Aracati/CE,2301109
77,Vilhena/RO,1100304
78,Montes Claros/MG,3143302
79,Cabo Frio/RJ,3300704
80,Cascavel/CE,2303501
81,Corumbá/MS,5003207
82,Presidente Prudente/SP,3541406
83,Tefé/AM,1304203
84,Cruzeiro do Sul/AC,1200203
85,Lábrea/AM,1302405
86,Barra do Garças/MT,5101803
87,Oriximiná/PA,1505304
88,Paulo Afonso/BA,2924009
89,Bonito/PA,1501600
90,Cacoal/RO,1100049
91,Sorriso/MT,5107925
92,Campo Grande/AL,2701506
93,Jijoca de Jericoacoara/CE,2307254
94,Conceição do Almeida/BA,2908309
95,Lençóis/BA,2919306
