,cities,geocode
0,Manaus/AM,1302603
1,Parintins/AM,1303403
2,Boca do Acre/AM,1300706
3,Santo Antônio do Içá/AM,1303700
4,Manacapuru/AM,1302504
5,Anori/AM,1300102
6,Itacoatiara/AM,1301902
7,Novo Airão/AM,1303205
8,Careiro da Várzea/AM,1301159
9,Tonantins/AM,1304237
10,Iranduba/AM,1301852
11,Jutaí/AM,1302306
12,São Gabriel da Cachoeira/AM,1303809
13,São Paulo de Olivença/AM,1303908
14,Manicoré/AM,1302702
15,Presidente Figueiredo/AM,1303536
16,Tabatinga/AM,1304062
17,Maués/AM,1302900
18,Tefé/AM,1304203
19,Careiro/AM,1301100
20,Anamã/AM,1300086
21,Lábrea/AM,1302405
22,Carauari/AM,1301001
23,Coari/AM,1301209
24,Santa Isabel do Rio Negro/AM,1303601
25,Canutama/AM,1300904
26,Juruá/AM,1302207
27,Autazes/AM,1300300
28,Beruri/AM,1300631
29,Barcelos/AM,1300409
30,Benjamin Constant/AM,1300607
31,Maraã/AM,1302801
32,Nova Olinda do Norte/AM,1303106
33,Rio Preto da Eva/AM,1303569
34,Manaquiri/AM,1302553
35,Nhamundá/AM,1303007
36,Amaturá/AM,1300060
37,Caapiranga/AM,1300839
38,Codajás/AM,1301308
39,Fonte Boa/AM,1301605
40,Novo Aripuanã/AM,1303304
41,Silves/AM,1304005
42,Tapauá/AM,1304104
43,São Sebastião do Uatumã/AM,1303957
44,Urucará/AM,1304302
45,Humaitá/AM,1301704
46,Itapiranga/AM,1302009
47,Urucurituba/AM,1304401
48,Borba/AM,1300805
49,Barreirinha/AM,1300508
50,Boa Vista do Ramos/AM,1300680
51,Alvarães/AM,1300029
52,Apuí/AM,1300144
53,Japurá/AM,1302108
54,Guajará/AM,1301654
55,Uarini/AM,1304260
56,Ipixuna/AM,1301803
