,cities,geocode
0,Manaus/AM,1302603
1,Parintins/AM,1303403
2,Boca do Acre/AM,1300706
3,Manacapuru/AM,1302504
4,Itacoatiara/AM,1301902
5,Novo Airão/AM,1303205
6,Iranduba/AM,1301852
7,Manicoré/AM,1302702
8,Presidente Figueiredo/AM,1303536
9,Tefé/AM,1304203
10,Careiro/AM,1301100
11,Lábrea/AM,1302405
12,Rio Preto da Eva/AM,1303569
13,Manaquiri/AM,1302553
14,Novo Aripuanã/AM,1303304
15,Silves/AM,1304005
16,Humaitá/AM,1301704
17,Itapiranga/AM,1302009
18,Apuí/AM,1300144
19,Guajará/AM,1301654
