city_number,city_code,metric
5022,5101605,1.0
5127,5107800,1.0
3733,3550308,0.5632063624947676
5384,5300108,0.4939880679210647
3299,3509502,0.49034256559766765
5236,5208707,0.488429077048734
3170,3304557,0.48186946011281223
2264,3106200,0.47247827232025286
3663,3543402,0.46979748603351956
3004,3170206,0.4684480807729132
5160,5201108,0.46653952843273233
950,2304400,0.46110349554489377
1922,2910800,0.4582765667574932
3003,3170107,0.458120531154239
3902,4106902,0.45318288986190636
1572,2611606,0.4509048257372654
5045,5103403,0.4504896626768226
126,2927408,0.449323760227083
3878,4104808,0.4476420194626965
4012,4115200,0.44351050679851667
3727,3549805,0.44325481798715205
1672,2704302,0.4432183150786461
3728,3549904,0.44187192118226604
1830,2903201,0.44165435745937964
4948,5002704,0.44064188635991486
1725,2800308,0.4401733867669911
2505,3127701,0.4401013983154796
2985,3168606,0.4387738464046959
462,1721000,0.4385593220338983
5120,5107602,0.4383093085756169
1578,2612208,0.4371700105596621
5264,5211503,0.4371700105596621
2024,2919553,0.4352960207052734
3927,4108304,0.4343825665859564
2236,3103504,0.4332286887225308
3995,4113700,0.43187289359653347
4766,4314902,0.43125
392,1709500,0.4303190213480451
2197,2933307,0.4303190213480451
3568,3534401,0.43028461784457944
3717,3548708,0.4302158273381295
1324,2507507,0.4299752336821922
65,1501402,0.4291866028708134
2096,2925105,0.4291866028708134
151,1100122,0.4289471586833506
3641,3541406,0.42867383512544804
4272,4205407,0.427855950393513
0,1100205,0.42717676006032224
159,1100304,0.42697342324474413
5268,5211909,0.4266687807198351
3775,3554102,0.42653352353780316
1156,2408102,0.4260945293325944
883,2211001,0.4258922212550447
827,2208007,0.4253872905469491
3477,3525904,0.42394643560456874
2046,2921302,0.42341279206986077
2547,3131307,0.42341279206986077
5062,5104807,0.4233794839521712
112,2111300,0.4226148409893993
245,1502400,0.4225816582914573
2003,2918001,0.4225816582914573
1362,2510808,0.4223826714801444
4540,4304705,0.4223495252295378
5328,5218003,0.4221838719799184
5131,5107909,0.4221507569221115
3870,4104303,0.42201834862385323
942,2304202,0.4219852595264231
5337,5218805,0.42175378105164174
346,1702109,0.4214235377026075
1917,2910602,0.4213575510843185
423,1716109,0.42132456552372005
2601,3136207,0.42122563982155437
1566,2611101,0.4210279277164985
1489,2604106,0.4208962227262063
5283,5213103,0.42050160168763184
2567,3133303,0.4201405152224824
967,2305407,0.4193221659524737
5229,5208004,0.41928949828607043
121,2805703,0.41896310135450726
4073,4119905,0.4175977653631285
109,2105302,0.41740344346207536
1276,2503704,0.4172416466392744
391,1709302,0.417176963026122
1280,2504009,0.41711229946524064
141,1100023,0.416789282118795
2610,3136702,0.4166602152202524
3108,3205309,0.4165634674922601
1058,2312908,0.4160482374768089
4175,4127700,0.4160482374768089
5024,5101803,0.41563055062166965
1155,2408003,0.41543805480509455
3715,3548500,0.4152457372116349
5200,5205109,0.4152137015892609
436,1718204,0.4151496451712434
5267,5211800,0.41498959056210966
468,2100055,0.4149256032688305
4253,4204202,0.4148296593186373
990,2307304,0.41476572133168926
2689,3143302,0.4147018030513176
2156,2930105,0.41415929203539825
2242,3104007,0.4137771968939802
5085,5106224,0.4137135829041433
620,2109908,0.4132688320663442
2154,2929909,0.41317365269461076
4623,4308508,0.41317365269461076
5100,5106752,0.41301511779602484
1433,2516201,0.4129517378961099
5027,5102504,0.4129200552401412
916,2302008,0.4128567045105861
5132,5107925,0.412793373216751
1651,2702405,0.4126034958601656
3508,3529005,0.4119718309859155
3487,3526902,0.4117512049575396
3612,3538709,0.4110593446880012
4314,4209102,0.410965180207697
2714,3145208,0.4106516099496414
4423,4217204,0.4106516099496414
3929,4108403,0.4105576321611107
3212,3501608,0.41046369737644905
155,1100189,0.4104010980631386
4452,4219507,0.4104010980631386
5070,5105259,0.41036980556614566
2495,3127107,0.41021341463414634
1876,2906873,0.41005714285714284
4736,4313706,0.41005714285714284
4057,4118501,0.4095578723080435
4856,4320107,0.4095267082635824
1919,2910727,0.40946439440048693
2750,3148004,0.40930869267624914
5375,5221601,0.40890442182039205
3221,3502507,0.40887335713743067
1800,2900702,0.40859398724567264
533,2104057,0.40853195688477306
1950,2913200,0.4083769633507853
154,1100155,0.40828402366863903
372,1705508,0.40816016987714243
5013,5100409,0.40797453001819284
1628,2700300,0.4079436064579701
4217,4202008,0.40788177339901477
3165,3304201,0.4074803149606299
4812,4317509,0.40738778290818256
2751,3148103,0.406894987525516
4454,4219705,0.4068642273964318
3230,3503208,0.40674123337363965
968,2305506,0.4066490366452588
3599,3537305,0.4066490366452588
3707,3547809,0.4066490366452588
4305,4208203,0.4066490366452588
4022,4115804,0.4065568817041849
4746,4314100,0.40649546827794564
1458,2601201,0.40643407340280924
3571,3534708,0.40640338291927813
5345,5219407,0.40634201585503965
3123,3301009,0.4062193373084761
3254,3505500,0.4062193373084761
1377,2512101,0.406188679245283
156,1100254,0.40612737699969814
5010,5100250,0.40612737699969814
5212,5206206,0.406004828002414
3719,3548906,0.40594358123397195
5039,5103205,0.40588235294117647
5034,5102793,0.4058211431156688
5084,5106216,0.4057905451255372
5163,5201405,0.40572936298529966
4803,4316907,0.4056681992914751
922,2302503,0.4054848188050931
143,1100049,0.40536265722678316
3098,3204906,0.40536265722678316
4649,4310207,0.40536265722678316
1967,2914703,0.40530160403644855
5331,5218300,0.40490520613903097
4598,4307005,0.40460081190798375
150,1100114,0.4043880081148095
2173,2931350,0.4043272481406356
4417,4216701,0.40381152460984393
3193,3306305,0.40366009150228754
4575,4306106,0.40366009150228754
1002,2308302,0.4035390267676389
2408,3119401,0.4033877979313446
3842,4102604,0.40326689644837405
4355,4212106,0.40323668240053945
4835,4318705,0.4030856800479329
4332,4210506,0.4030554931476073
924,2302701,0.4026936026936027
4182,4128005,0.4026936026936027
5041,5103304,0.4026634744875056
1968,2914802,0.4025731169122597
3239,3504008,0.402482799880347
1998,2917508,0.40233236151603496
408,1713304,0.40230228733741963
5011,5100300,0.40194174757281553
4255,4204301,0.4018517135817218
2850,3157005,0.401761719916393
2771,3149903,0.40152193375111905
4628,4308904,0.4012226032503355
2276,3107406,0.4010731052984574
