,cities,geocode
199,Gararu/SE,2802403
200,Gurupá/PA,1503101
201,Santana do São Francisco/SE,2806404
202,Japurá/AM,1302108
203,Marechal Thaumaturgo/AC,1200351
204,Itaguatins/TO,1710706
205,Porto Walter/AC,1200393
206,Conceição do Almeida/BA,2908309
207,Primeira Cruz/MA,2109403
208,Sento Sé/BA,2930204
209,Uarini/AM,1304260
210,Brejo Grande/SE,2800704
211,Xique-Xique/BA,2933604
212,Traipu/AL,2709202
213,Aveiro/PA,1501006
214,Ipixuna/AM,1301803
215,São José do Norte/RS,4318507
216,Lençóis/BA,2919306
217,Pinheirinho do Vale/RS,4314498
218,Imaruí/SC,4207205
